PDB_ID,Total_Electric_Charge,Filename,First O-H-H-O-H-H Row,Last H in Last O-H-H-O-H-H Row,Last_Atom_ID_In_Source_XYZ,Is_Consecutive_To_First_OHH_OHH
1DG9,2.0,1DG9.xyz,2496,33842,2495,True
3TP8,7.0,3TP8.xyz,2097,33953,2096,True
1JHB,3.0,1JHB.xyz,1682,27187,1681,True
3C1F,9.0,3C1F.xyz,2107,33948,2106,True
1POH,0.0,1POH.xyz,1296,21392,1295,True
4LZT,9.0,4LZT.xyz,1962,33953,1961,True
1FNA,0.0,1FNA.xyz,1368,33959,1367,True
1A6K,14.0,1A6K.xyz,2448,33845,2447,True
1V57,20.0,1V57.xyz,7605,150851,7604,True
3EJI,10.0,3EJI.xyz,2126,33949,2125,True
6EEG,7.0,6EEG.xyz,2102,33940,2101,True
3ITP,9.0,3ITP.xyz,2103,33947,2102,True
135L,11.0,135L.xyz,1953,33986,1952,True
1A2P,12.0,1A2P.xyz,5188,98973,5187,True
1BEO,3.0,1BEO.xyz,1436,21382,1435,True
1HV0,5.0,1HV0.xyz,2772,27014,2771,True
2CPL,5.0,2CPL.xyz,2508,27101,2507,True
7XJD,-2.0,7XJD.xyz,3616,72345,3615,True
1A91,-2.0,1A91.xyz,1192,72585,1191,True
1DE3,15.0,1DE3.xyz,2358,50786,2357,True
1ERT,-4.0,1ERT.xyz,1634,21304,1633,True
1GS9,-3.0,1GS9.xyz,2725,754962,2724,True
3D4D,14.0,3D4D.xyz,4189,72153,4188,True
1O73,-2.0,1O73.xyz,2216,27103,2215,True
1KVR,5.0,1KVR.xyz,5196,60674,5195,True
3SK5,7.0,3SK5.xyz,2097,33929,2096,True
1LZ1,9.0,1LZ1.xyz,2023,33933,2022,True
2H1B,-0.0,2H1B.xyz,8905,114405,8904,True
2TRX,-8.0,2TRX.xyz,3309,60779,3308,True
1THE,-10.0,1THE.xyz,7669,98805,7668,True
5J1Z,7.0,5J1Z.xyz,2103,33953,2102,True
1P5F,2.0,1P5F.xyz,2843,33820,2842,True
3RUZ,9.0,3RUZ.xyz,2107,33921,2106,True
3E5S,18.0,3E5S.xyz,4207,72186,4206,True
1PPO,23.0,1PPO.xyz,3301,41769,3300,True
1ANS,1.0,1ANS.xyz,375,8993,374,True
4BYA,-11.0,4BYA.xyz,1164,21320,1163,True
1PGB,-4.0,1PGB.xyz,856,21402,855,True
3CZ9,8.0,3CZ9.xyz,2989,132669,2988,True
3BDC,8.0,3BDC.xyz,2101,33933,2100,True
2KIX,12.0,2KIX.xyz,2229,41588,2228,True
8UOZ,5.0,8UOZ.xyz,3443,41305,3442,True
2V8N,22.0,2V8N.xyz,13263,304016,13262,True
1FVJ,-4.0,1FVJ.xyz,5913,84683,5912,True
1FOV,2.0,1FOV.xyz,1278,21392,1277,True
1PRW,-23.0,1PRW.xyz,2264,33844,2263,True
4EQP,7.0,4EQP.xyz,2094,33941,2093,True
2FD3,-6.0,2FD3.xyz,3317,41590,3316,True
1LE2,-1.0,1LE2.xyz,2353,72414,2352,True
2LZM,9.0,2LZM.xyz,2645,50785,2644,True
4HMJ,7.0,4HMJ.xyz,2094,33926,2093,True
1AC1,-4.0,1AC1.xyz,5909,84598,5908,True
2ZTA,4.0,2ZTA.xyz,1157,41923,1156,True
5I6W,7.0,5I6W.xyz,2103,33953,2102,True
1STN,12.0,1STN.xyz,2400,151583,2399,True
3C1E,9.0,3C1E.xyz,2141,33916,2140,True
3D6C,10.0,3D6C.xyz,2389,132564,2388,True
3QOL,7.0,3QOL.xyz,2100,33929,2099,True
3EBX,4.0,3EBX.xyz,923,27217,922,True
3H6M,7.0,3H6M.xyz,2100,33965,2099,True
2OEO,3.0,2OEO.xyz,2057,41809,2056,True
4KY5,7.0,4KY5.xyz,2097,33926,2096,True
5I6Y,7.0,5I6Y.xyz,2106,33947,2105,True
3FT7,10.0,3FT7.xyz,1881,60995,1880,True
1QT8,10.0,1QT8.xyz,2651,50791,2650,True
1U2U,2.0,1U2U.xyz,994,34095,993,True
1FMH,2.0,1FMH.xyz,996,34076,995,True
1PPN,8.0,1PPN.xyz,3248,41731,3247,True
1YMB,11.0,1YMB.xyz,2423,33865,2422,True
1EY7,12.0,1EY7.xyz,2399,132682,2398,True
2BUS,6.0,2BUS.xyz,844,16329,843,True
1L54,10.0,1L54.xyz,2652,50816,2651,True
1BED,2.0,1BED.xyz,2867,50659,2866,True
3QOJ,9.0,3QOJ.xyz,2107,33951,2106,True
3ERQ,9.0,3ERQ.xyz,2104,33960,2103,True
1JAS,-4.0,1JAS.xyz,2396,60814,2395,True
1MEK,1.0,1MEK.xyz,1855,33834,1854,True
2QDB,14.0,2QDB.xyz,2402,132709,2401,True
5DEH,7.0,5DEH.xyz,2099,33952,2098,True
8I41,-15.0,8I41.xyz,25521,301262,25520,True
6GST,12.0,6GST.xyz,7255,71793,7254,True
3HZX,9.0,3HZX.xyz,2107,33960,2106,True
2RKS,12.0,2RKS.xyz,2396,132676,2395,True
2O89,-7.0,2O89.xyz,1645,27165,1644,True
1HHO,20.0,1HHO.xyz,4403,41542,4402,True
3P75,7.0,3P75.xyz,2097,33905,2096,True
1FEZ,-48.0,1FEZ.xyz,16257,753404,16256,True
5IIF,7.0,5IIF.xyz,2099,33952,2098,True
3EVQ,7.0,3EVQ.xyz,2097,33947,2096,True
1LNI,-10.0,1LNI.xyz,2887,72315,2886,True
1QH7,10.0,1QH7.xyz,6365,151210,6364,True
5E1F,7.0,5E1F.xyz,2109,33944,2108,True
1LJU,-4.0,1LJU.xyz,2053,33822,2052,True
2L90,7.0,2L90.xyz,3273,41507,3272,True
1HRC,12.0,1HRC.xyz,1676,27166,1675,True
1IGD,-2.0,1IGD.xyz,928,34074,927,True
9RNT,-6.0,9RNT.xyz,1463,21319,1462,True
1YPI,-0.0,1YPI.xyz,7563,114833,7562,True
1YPI,-0.0,1YPI.xyz,7563,114833,7562,True
1NLX,0.0,1NLX.xyz,23423,751384,23422,True
1NLX,0.0,1NLX.xyz,23423,751282,23422,True
1AO6,2.0,1AO6.xyz,18487,302850,18486,True
1AO6,2.0,1AO6.xyz,18487,302880,18486,True
1JBB,-4.0,1JBB.xyz,4959,204731,4958,True
1JBB,-4.0,1JBB.xyz,4959,204698,4958,True
3CYF,8.0,3CYF.xyz,2983,132639,2982,True
3CYF,8.0,3CYF.xyz,2983,132636,2982,True
2HNP,5.0,2HNP.xyz,5219,755233,5218,True
2HNP,5.0,2HNP.xyz,5219,755212,5218,True
1AZP,-8.0,1AZP.xyz,1600,27075,1599,True
3EZG,7.0,3EZG.xyz,2968,115272,2967,True
3EZG,7.0,3EZG.xyz,2968,115299,2967,True
1I0E,56.0,1I0E.xyz,24237,765785,24236,True
1I0E,56.0,1I0E.xyz,24237,765812,24236,True
2OXP,10.0,2OXP.xyz,2389,132624,2388,True
2OXP,10.0,2OXP.xyz,2389,115248,2388,True
2RDF,14.0,2RDF.xyz,2395,115227,2394,True
2RDF,14.0,2RDF.xyz,2395,99570,2394,True
2PPT,28.0,2PPT.xyz,4607,99217,4606,True
2PPT,28.0,2PPT.xyz,4607,99214,4606,True
4QYT,12.0,4QYT.xyz,12085,204627,12084,True
4QYT,12.0,4QYT.xyz,12085,204636,12084,True
2FWF,5.0,2FWF.xyz,2102,85258,2101,True
2FWF,5.0,2FWF.xyz,2102,85255,2101,True
1CDC,2.0,1CDC.xyz,3151,72276,3150,True
1CDC,2.0,1CDC.xyz,3151,72264,3150,True
1PPF,17.0,1PPF.xyz,4112,50512,4111,True
4MA9,-20.0,4MA9.xyz,14396,753340,14395,True
4MA9,-20.0,4MA9.xyz,14396,753313,14395,True
1DSB,-2.0,1DSB.xyz,5907,84695,5906,True
1DSB,-2.0,1DSB.xyz,5907,84719,5906,True
3DMU,12.0,3DMU.xyz,2401,132630,2400,True
3DMU,12.0,3DMU.xyz,2401,132642,2400,True
1BNZ,-8.0,1BNZ.xyz,1562,27118,1561,True
