Filename,First O-H-H-O-H-H Row,Last H in Last O-H-H-O-H-H Row,Last_Atom_ID_In_Source_XYZ,Is_Consecutive_To_First_OHH_OHH
2TGA.xyz,3224,41650,3223,True
2RN2.xyz,2461,41700,2460,True
4XLL.xyz,5689,85086,5688,True
3CYF.xyz,2983,132639,2982,True
3TP7.xyz,2100,33950,2099,True
1UBQ.xyz,1233,27230,1232,True
5ISR.xyz,2097,33932,2096,True
1QK1.xyz,48449,411544,48448,True
4YIJ.xyz,4363,72138,4362,True
1FKS.xyz,1667,33880,1666,True
5KGU.xyz,2099,33928,2098,True
2RBM.xyz,2126,33904,2125,True
4KY7.xyz,2156,33913,2155,True
2CI2.xyz,1332,418313,1331,True
1MBC.xyz,2472,33836,2471,True
1VII.xyz,597,16487,596,True
1BPI.xyz,893,27208,892,True
3C1R.xyz,1883,99679,1882,True
5EGT.xyz,2100,33902,2099,True
1GYM.xyz,4807,50694,4806,True
5KIX.xyz,2097,33917,2096,True
5JAV.xyz,2092,33906,2091,True
7RSA.xyz,1861,33870,1860,True
1KTE.xyz,1665,21353,1664,True
5DEH.xyz,2099,33952,2098,True
3C71.xyz,2228,27109,2227,True
3HZX.xyz,2107,33960,2106,True
8I41.xyz,25521,301262,25520,True
6GST.xyz,7255,71793,7254,True
3DMU.xyz,2401,132630,2400,True
2RKS.xyz,2396,132676,2395,True
3QOJ.xyz,2107,33951,2106,True
3ERQ.xyz,2104,33960,2103,True
7M2Z.xyz,42016,750993,42015,True
1JAS.xyz,2396,60814,2395,True
2QDB.xyz,2402,132709,2401,True
1MEK.xyz,1855,33834,1854,True
2L6X.xyz,3752,60355,3751,True
1QH7.xyz,6365,151210,6364,True
1LJU.xyz,2053,33822,2052,True
5E1F.xyz,2109,33944,2108,True
1HRC.xyz,1676,27166,1675,True
2L90.xyz,3273,41507,3272,True
9RNT.xyz,1463,21319,1462,True
1IGD.xyz,928,34074,927,True
3P75.xyz,2097,33905,2096,True
1HHO.xyz,4403,41542,4402,True
2O89.xyz,1645,27165,1644,True
1FEZ.xyz,16257,753404,16256,True
1LNI.xyz,2887,72315,2886,True
3EVQ.xyz,2097,33947,2096,True
5IIF.xyz,2099,33952,2098,True
1FMH.xyz,996,34076,995,True
1PPN.xyz,3248,41731,3247,True
1DSB.xyz,5907,84695,5906,True
3FT7.xyz,1881,60995,1880,True
1U2U.xyz,994,34095,993,True
1QT8.xyz,2651,50791,2650,True
1EY7.xyz,2399,132682,2398,True
2BUS.xyz,844,16329,843,True
1BED.xyz,2867,50659,2866,True
1ST9.xyz,4445,84958,4444,True
1L54.xyz,2652,50816,2651,True
1YMB.xyz,2423,33865,2422,True
1FVJ.xyz,5913,84683,5912,True
2V8N.xyz,13263,304016,13262,True
1FOV.xyz,1278,21392,1277,True
2LZM.xyz,2645,50785,2644,True
4HMJ.xyz,2094,33926,2093,True
1LE2.xyz,2353,72414,2352,True
2FD3.xyz,3317,41590,3316,True
4EQP.xyz,2094,33941,2093,True
1PRW.xyz,2264,33844,2263,True
2KIX.xyz,2229,41588,2228,True
3WU2.xyz,60226,746754,60225,True
8UOZ.xyz,3443,41305,3442,True
3D6C.xyz,2389,132564,2388,True
3C1E.xyz,2141,33916,2140,True
1STN.xyz,2400,151583,2399,True
3H6M.xyz,2100,33965,2099,True
3EBX.xyz,923,27217,922,True
3QOL.xyz,2100,33929,2099,True
2OEO.xyz,2057,41809,2056,True
5I6Y.xyz,2106,33947,2105,True
4KY5.xyz,2097,33926,2096,True
1SU9.xyz,4449,85049,4448,True
4MA9.xyz,14396,753340,14395,True
1AC1.xyz,5909,84598,5908,True
5I6W.xyz,2103,33953,2102,True
2ZTA.xyz,1157,41923,1156,True
1EH6.xyz,3063,754988,3062,True
1JBB.xyz,4959,204731,4958,True
1THE.xyz,7669,98805,7668,True
2TRX.xyz,3309,60779,3308,True
1AO6.xyz,18487,302850,18486,True
5J1Z.xyz,2103,33953,2102,True
4HHB.xyz,8805,71459,8804,True
1NLX.xyz,23423,751384,23422,True
2FWF.xyz,2102,85258,2101,True
3SK5.xyz,2097,33929,2096,True
1I7K.xyz,5515,754662,5514,True
4GE3.xyz,12093,204557,12092,True
2H1B.xyz,8905,114405,8904,True
1LZ1.xyz,2023,33933,2022,True
1ANS.xyz,375,8993,374,True
1PGB.xyz,856,21402,855,True
1CDC.xyz,3151,72276,3150,True
4BYA.xyz,1164,21320,1163,True
3BDC.xyz,2101,33933,2100,True
3CZ9.xyz,2989,132669,2988,True
1KXI.xyz,1983,26966,1982,True
1P5F.xyz,2843,33820,2842,True
3RUZ.xyz,2107,33921,2106,True
3E5S.xyz,4207,72186,4206,True
1PPO.xyz,3301,41769,3300,True
1YPI.xyz,7563,114833,7562,True
2CI2.xyz,1332,418313,1331,True
1JBB.xyz,4959,204698,4958,True
1AO6.xyz,18487,302880,18486,True
1NLX.xyz,23423,751282,23422,True
4GE0.xyz,12085,204609,12084,True
2H1A.xyz,4447,85014,4446,True
2RDF.xyz,2395,99570,2394,True
2PPT.xyz,4607,99214,4606,True
4QYT.xyz,12085,204636,12084,True
2OXP.xyz,2389,115248,2388,True
1B2V.xyz,2615,205075,2614,True
1YPT.xyz,9329,754273,9328,True
2HNP.xyz,5219,755212,5218,True
1BI6.xyz,779,21412,778,True
1AZP.xyz,1600,27075,1599,True
3EZG.xyz,2968,115299,2967,True
1I0E.xyz,24237,765812,24236,True
1YPH.xyz,7043,84664,7042,True
3CYF.xyz,2983,132636,2982,True
2CI2.xyz,1332,418313,1331,True
3C71.xyz,2228,27109,2227,True
3DMU.xyz,2401,132642,2400,True
7M2Z.xyz,42016,750822,42015,True
2L6X.xyz,3752,71887,3751,True
1BNZ.xyz,1562,27118,1561,True
1DSB.xyz,5907,84719,5906,True
1ST9.xyz,4445,84922,4444,True
3WU2.xyz,60226,746919,60225,True
1SU9.xyz,4449,85064,4448,True
4MA9.xyz,14396,753313,14395,True
1EH6.xyz,3063,754970,3062,True
2FWF.xyz,2102,85255,2101,True
1I7K.xyz,5515,754662,5514,True
4GE3.xyz,12093,204557,12092,True
1CDC.xyz,3151,72264,3150,True
1PPF.xyz,4112,50512,4111,True
1KXI.xyz,1983,26966,1982,True
