Filename,Last_Atom_ID_Dissolved,Last_Atom_ID_Neutralized,Difference,Status
2H1B.xyz,8904,8904,0,OK
2TRX.xyz,3308,3308,0,OK
1THE.xyz,7668,7668,0,OK
5J1Z.xyz,2102,2102,0,OK
1P5F.xyz,2842,2842,0,OK
3RUZ.xyz,2106,2106,0,OK
3E5S.xyz,4206,4206,0,OK
1PPO.xyz,3300,3300,0,OK
1ANS.xyz,374,374,0,OK
4BYA.xyz,1163,1163,0,OK
1PGB.xyz,855,855,0,OK
3CZ9.xyz,2988,2988,0,OK
3BDC.xyz,2100,2100,0,OK
2KIX.xyz,2228,2228,0,OK
8UOZ.xyz,3442,3442,0,OK
2V8N.xyz,13262,13262,0,OK
1FVJ.xyz,5912,5912,0,OK
1FOV.xyz,1277,1277,0,OK
1PRW.xyz,2263,2263,0,OK
4EQP.xyz,2093,2093,0,OK
2FD3.xyz,3316,3316,0,OK
1LE2.xyz,2352,2352,0,OK
2LZM.xyz,2644,2644,0,OK
4HMJ.xyz,2093,2093,0,OK
1AC1.xyz,5908,5908,0,OK
2ZTA.xyz,1156,1156,0,OK
5I6W.xyz,2102,2102,0,OK
1STN.xyz,2399,2399,0,OK
3C1E.xyz,2140,2140,0,OK
3D6C.xyz,2388,2388,0,OK
3QOL.xyz,2099,2099,0,OK
3EBX.xyz,922,922,0,OK
3H6M.xyz,2099,2099,0,OK
2OEO.xyz,2056,2056,0,OK
4KY5.xyz,2096,2096,0,OK
5I6Y.xyz,2105,2105,0,OK
3FT7.xyz,1880,1880,0,OK
1QT8.xyz,2650,2650,0,OK
1U2U.xyz,993,993,0,OK
1FMH.xyz,995,995,0,OK
1PPN.xyz,3247,3247,0,OK
1YMB.xyz,2422,2422,0,OK
1EY7.xyz,2398,2398,0,OK
2BUS.xyz,843,843,0,OK
1L54.xyz,2651,2651,0,OK
1BED.xyz,2866,2866,0,OK
3QOJ.xyz,2106,2106,0,OK
3ERQ.xyz,2103,2103,0,OK
1JAS.xyz,2395,2395,0,OK
1MEK.xyz,1854,1854,0,OK
2QDB.xyz,2401,2401,0,OK
5DEH.xyz,2098,2098,0,OK
8I41.xyz,25520,25520,0,OK
6GST.xyz,7254,7254,0,OK
3HZX.xyz,2106,2106,0,OK
2RKS.xyz,2395,2395,0,OK
2O89.xyz,1644,1644,0,OK
1HHO.xyz,4402,4402,0,OK
3P75.xyz,2096,2096,0,OK
1FEZ.xyz,16256,16256,0,OK
5IIF.xyz,2098,2098,0,OK
3EVQ.xyz,2096,2096,0,OK
1LNI.xyz,2886,2886,0,OK
1QH7.xyz,6364,6364,0,OK
5E1F.xyz,2108,2108,0,OK
1LJU.xyz,2052,2052,0,OK
2L90.xyz,3272,3272,0,OK
1HRC.xyz,1675,1675,0,OK
1IGD.xyz,927,927,0,OK
9RNT.xyz,1462,1462,0,OK
1YPI.xyz,7562,7562,0,OK
1NLX.xyz,23422,23422,0,OK
1AO6.xyz,18486,18486,0,OK
1JBB.xyz,4958,4958,0,OK
3CYF.xyz,2982,2982,0,OK
2HNP.xyz,5218,5218,0,OK
1AZP.xyz,1599,1599,0,OK
3EZG.xyz,2967,2967,0,OK
1I0E.xyz,24236,18177,-6059,MISMATCH
2OXP.xyz,2388,2388,0,OK
2RDF.xyz,2394,2394,0,OK
2PPT.xyz,4606,4606,0,OK
4QYT.xyz,12084,12084,0,OK
2FWF.xyz,2101,2101,0,OK
1CDC.xyz,3150,3150,0,OK
1PPF.xyz,4111,815,-3296,MISMATCH
4MA9.xyz,14395,14395,0,OK
1DSB.xyz,5906,5906,0,OK
3DMU.xyz,2400,2400,0,OK
1BNZ.xyz,1561,1561,0,OK
